County,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages,Score
"San Jacinto County, TX",7,2,10,1,1,8,24
"Tyler County, TX",7,2,10,1,1,8,24
"Zavala County, TX",10,5,10,1,1,5,24
"Escambia County, AL",6,5,8,1,1,8,23
"Washington County, AL",6,5,8,3,1,7,23
"Franklin County, AR",7,7,9,1,2,4,23
"White County, AR",7,2,8,1,6,4,23
"Madera County, CA",7,2,8,1,6,5,23
"Columbia County, FL",6,4,8,1,3,7,23
"Hamilton County, FL",7,4,8,1,1,8,23
"Jefferson County, FL",7,7,5,1,2,8,23
"Liberty County, FL",4,5,8,3,1,8,23
"Union County, FL",6,4,8,1,2,8,23
"Iberia Parish, LA",6,9,3,4,2,8,23
"Vernon Parish, LA",7,4,10,1,1,6,23
"Amite County, MS",7,4,8,1,1,8,23
"Copiah County, MS",7,4,9,1,1,7,23
"George County, MS",6,5,8,1,1,8,23
"Greene County, MS",6,5,8,1,1,8,23
"Lawrence County, MS",7,5,8,1,1,7,23
"Lincoln County, MS",7,5,8,1,1,7,23
"Neshoba County, MS",7,7,9,1,1,5,23
"Smith County, MS",7,5,8,1,1,7,23
"Tate County, MS",7,9,8,1,1,5,23
"Wilkinson County, MS",7,2,9,1,1,8,23
"Camden County, MO",6,6,8,1,2,6,23
"Hickory County, MO",6,5,8,1,2,7,23
"Chaves County, NM",9,1,8,1,6,6,23
"Do̱a Ana County, NM",9,2,8,1,6,5,23
"Hidalgo County, NM",9,2,6,1,7,5,23
"Greene County, NC",6,7,8,1,1,6,23
"Aransas County, TX",9,10,1,6,1,8,23
"Atascosa County, TX",10,4,10,1,1,5,23
"Bexar County, TX",9,4,10,1,2,5,23
"Callahan County, TX",9,4,10,1,2,5,23
"Chambers County, TX",6,4,8,4,1,8,23
"Coleman County, TX",9,4,10,1,2,5,23
"Colorado County, TX",9,4,10,1,1,6,23
"DeWitt County, TX",10,4,10,1,1,5,23
"Fort Bend County, TX",9,2,9,1,1,7,23
"Haskell County, TX",9,4,10,1,2,5,23
"Jim Wells County, TX",9,4,9,1,1,6,23
"Kinney County, TX",10,5,9,1,1,5,23
"Lavaca County, TX",9,4,10,1,2,5,23
"Liberty County, TX",7,2,8,3,1,8,23
"Limestone County, TX",9,4,10,1,2,5,23
"Reagan County, TX",10,4,8,1,3,5,23
"Wilbarger County, TX",9,4,10,1,2,5,23
"Wilson County, TX",9,4,10,1,1,6,23
"Washington County, UT",7,2,5,1,9,5,23
"Baldwin County, AL",6,6,5,4,1,8,22
"Greene County, AL",7,7,8,1,1,5,22
"Monroe County, AL",6,5,8,1,1,7,22
"Pickens County, AL",7,7,8,1,1,5,22
"Sumter County, AL",7,7,8,1,1,5,22
"Grant County, AR",7,9,8,1,1,4,22
"Amador County, CA",7,2,8,1,6,5,22
"Butte County, CA",6,2,8,1,6,5,22
"Riverside County, CA",10,6,8,1,1,5,22
"Alachua County, FL",6,2,8,1,3,7,22
"Bay County, FL",4,4,8,4,1,7,22
"Bradford County, FL",6,2,8,1,2,8,22
"Clay County, FL",6,5,3,4,3,9,22
"Gadsden County, FL",7,4,8,1,1,7,22
"Pierce County, GA",7,2,9,1,3,6,22
"Screven County, GA",7,2,8,1,3,6,22
"Elmore County, ID",6,1,6,1,9,5,22
"Avoyelles Parish, LA",7,4,8,1,3,6,22
"East Feliciana Parish, LA",6,5,8,1,1,7,22
"Rapides Parish, LA",7,7,8,1,1,5,22
"Terrebonne Parish, LA",4,9,1,7,3,8,22
"Claiborne County, MS",7,6,9,1,1,5,22
"Clay County, MS",7,7,8,1,1,5,22
"Covington County, MS",6,5,8,1,1,7,22
"Forrest County, MS",6,6,9,1,1,6,22
"Franklin County, MS",7,4,8,1,1,7,22
"Jasper County, MS",7,5,9,1,1,6,22
"Jefferson County, MS",7,4,8,1,1,7,22
"Lafayette County, MS",7,7,8,1,1,5,22
"Lee County, MS",7,7,8,1,1,5,22
"Lowndes County, MS",7,7,8,1,1,5,22
"Marion County, MS",6,5,8,1,1,7,22
"Monroe County, MS",7,7,8,1,1,5,22
"Pike County, MS",7,4,8,1,1,7,22
"Wayne County, MS",7,5,8,1,1,6,22
"Winston County, MS",7,7,8,1,1,5,22
"Wayne County, MO",6,7,8,1,2,6,22
"Brunswick County, NC",4,7,4,4,2,8,22
"Carteret County, NC",4,7,3,6,1,9,22
"New Hanover County, NC",4,9,5,4,1,7,22
"Williamsburg County, SC",4,2,8,3,3,7,22
"Shelby County, TN",7,7,8,1,1,5,22
"Austin County, TX",9,4,10,1,1,5,22
"Bastrop County, TX",9,4,10,1,1,5,22
"Borden County, TX",9,4,8,1,3,5,22
"Bosque County, TX",9,4,10,1,1,5,22
"Brazos County, TX",9,4,10,1,1,5,22
"Caldwell County, TX",9,4,9,1,2,5,22
"Calhoun County, TX",4,4,8,4,1,7,22
"Collingsworth County, TX",9,4,8,1,3,5,22
"Comanche County, TX",9,4,10,1,1,5,22
"Concho County, TX",9,2,10,1,2,5,22
"Coryell County, TX",9,4,10,1,1,5,22
"Dallas County, TX",9,4,10,1,1,5,22
"Denton County, TX",9,4,10,1,1,5,22
"Erath County, TX",9,4,10,1,1,5,22
"Fayette County, TX",9,4,10,1,1,5,22
"Freestone County, TX",9,4,10,1,1,5,22
"Gonzales County, TX",9,4,10,1,1,5,22
"Hamilton County, TX",9,4,10,1,1,5,22
"Hood County, TX",9,4,10,1,1,5,22
"Jefferson County, TX",6,9,3,4,1,8,22
"Johnson County, TX",9,4,10,1,1,5,22
"Jones County, TX",9,4,9,1,2,5,22
"Karnes County, TX",9,4,10,1,1,5,22
"Kaufman County, TX",9,4,10,1,1,5,22
"La Salle County, TX",10,2,10,1,1,5,22
"Lee County, TX",9,4,10,1,1,5,22
"McCulloch County, TX",9,2,10,1,2,5,22
"Medina County, TX",9,4,8,1,2,6,22
"Navarro County, TX",9,4,10,1,1,5,22
"Rockwall County, TX",9,4,10,1,1,5,22
"Runnels County, TX",9,4,9,1,2,5,22
"Shelby County, TX",9,4,10,1,1,5,22
"Tarrant County, TX",9,4,10,1,1,5,22
"Taylor County, TX",9,4,9,1,2,5,22
"Throckmorton County, TX",9,4,10,1,1,5,22
"Tom Green County, TX",9,4,8,1,3,5,22
"Van Zandt County, TX",9,4,10,1,1,5,22
"Walker County, TX",9,2,10,1,1,6,22
"Wichita County, TX",9,4,10,1,1,5,22
"Wise County, TX",9,4,10,1,1,5,22
"Tooele County, UT",7,2,5,1,9,4,22
"Autauga County, AL",7,4,8,1,1,6,21
"Butler County, AL",6,4,8,1,1,7,21
"Choctaw County, AL",7,5,8,1,1,6,21
"Conecuh County, AL",6,4,8,1,1,7,21
"Elmore County, AL",7,4,8,1,1,6,21
"Lowndes County, AL",7,6,8,1,1,5,21
"Marengo County, AL",7,5,8,1,1,6,21
"Perry County, AL",6,4,8,1,1,7,21
"Tuscaloosa County, AL",7,6,8,1,1,5,21
"Wilcox County, AL",7,4,8,1,1,6,21
"Lawrence County, AR",6,7,8,1,2,4,21
"Mississippi County, AR",7,7,8,1,1,5,21
"Pulaski County, AR",7,7,8,1,1,4,21
"El Dorado County, CA",4,2,6,1,8,5,21
"San Bernardino County, CA",10,5,8,1,1,5,21
"Hardee County, FL",9,2,8,1,3,5,21
"Hillsborough County, FL",6,4,8,4,3,5,21
"Appling County, GA",7,4,8,1,3,5,21
"Atkinson County, GA",7,2,9,1,2,6,21
"Bacon County, GA",7,2,9,1,3,5,21
"Berrien County, GA",7,2,9,1,2,6,21
"Clinch County, GA",7,2,8,1,3,6,21
"Evans County, GA",7,2,9,1,1,6,21
"Lanier County, GA",7,2,8,1,2,6,21
"McIntosh County, GA",6,9,1,4,2,9,21
"Wayne County, GA",7,4,8,1,3,5,21
"Ada County, ID",6,2,6,1,7,5,21
"Alexander County, IL",6,7,8,1,1,5,21
