County,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages,Score
"Phillips County, KS",7,2,8,1,2,5,19
"Rooks County, KS",7,2,8,1,2,5,19
"Rush County, KS",7,2,8,1,2,5,19
"Saline County, KS",7,4,8,1,1,5,19
"Sedgwick County, KS",7,4,8,1,1,5,19
"Stafford County, KS",7,4,8,1,1,5,19
"Trego County, KS",7,2,8,1,2,5,19
"Wyandotte County, KS",6,4,8,1,2,5,19
"Christian County, KY",6,7,7,1,1,5,19
"Crittenden County, KY",6,7,7,1,1,5,19
"Hickman County, KY",6,6,8,1,1,5,19
"Lyon County, KY",6,7,7,1,1,5,19
"McLean County, KY",6,7,7,1,1,5,19
"Muhlenberg County, KY",6,7,7,1,1,5,19
"Todd County, KY",6,7,7,1,1,5,19
"Trigg County, KY",6,7,7,1,1,5,19
"Webster County, KY",6,7,7,1,1,5,19
"Catahoula Parish, LA",9,2,8,1,1,6,19
"Claiborne Parish, LA",7,2,9,1,1,5,19
"Grant Parish, LA",7,2,9,1,1,5,19
"Lincoln Parish, LA",7,2,9,1,1,5,19
"Richland Parish, LA",9,4,8,1,1,5,19
"St. Bernard Parish, LA",4,6,1,7,2,8,19
"St. Charles Parish, LA",6,10,1,7,2,5,19
"Worcester County, MD",4,5,4,6,2,6,19
"Attala County, MS",6,5,8,1,1,5,19
"Benton County, MS",6,5,8,1,1,5,19
"Chickasaw County, MS",6,5,8,1,1,5,19
"DeSoto County, MS",7,4,8,1,1,5,19
"Hancock County, MS",4,6,1,6,2,9,19
"Itawamba County, MS",6,5,8,1,1,5,19
"Leflore County, MS",7,6,7,1,1,5,19
"Prentiss County, MS",6,6,8,1,1,5,19
"Tippah County, MS",6,5,8,1,1,5,19
"Union County, MS",6,5,8,1,1,5,19
"Webster County, MS",6,5,8,1,1,5,19
"Bates County, MO",6,4,8,1,3,5,19
"Butler County, MO",6,5,8,1,2,5,19
"Christian County, MO",6,2,8,1,2,6,19
"Cole County, MO",6,7,7,1,1,5,19
"Dallas County, MO",4,5,8,1,2,6,19
"Franklin County, MO",6,7,7,1,1,5,19
"Gasconade County, MO",6,7,7,1,1,5,19
"Laclede County, MO",4,5,8,1,2,5,19
"Miller County, MO",6,6,7,1,2,5,19
"Mississippi County, MO",6,6,8,1,1,5,19
"Perry County, MO",6,6,8,1,1,5,19
"St. Clair County, MO",6,2,8,1,2,6,19
"Ste. Genevieve County, MO",6,6,8,1,1,5,19
"Vernon County, MO",6,4,8,1,2,5,19
"Churchill County, NV",7,2,1,1,10,5,19
"Dare County, NC",3,6,3,6,1,8,19
"Edgecombe County, NC",6,5,8,1,1,5,19
"Onslow County, NC",4,7,4,4,1,6,19
"Beaver County, OK",7,2,8,1,3,4,19
"Beckham County, OK",7,2,9,1,2,4,19
"Bryan County, OK",7,4,9,1,1,4,19
"Canadian County, OK",7,4,9,1,1,4,19
"Coal County, OK",7,2,9,1,2,4,19
"Dewey County, OK",7,2,9,1,2,4,19
"Garfield County, OK",7,4,9,1,1,4,19
"Harper County, OK",7,2,9,1,2,4,19
"Haskell County, OK",7,4,8,1,2,4,19
"Kingfisher County, OK",7,4,9,1,1,4,19
"Logan County, OK",7,4,9,1,1,4,19
"Love County, OK",7,2,10,1,1,4,19
"McClain County, OK",7,2,10,1,1,4,19
"Major County, OK",7,4,9,1,1,4,19
"Muskogee County, OK",7,4,9,1,1,4,19
"Noble County, OK",7,4,9,1,1,4,19
"Oklahoma County, OK",7,4,9,1,1,4,19
"Pontotoc County, OK",7,2,9,1,2,4,19
"Roger Mills County, OK",7,2,9,1,2,4,19
"Rogers County, OK",7,2,8,1,3,4,19
"Stephens County, OK",7,2,10,1,1,4,19
"Wagoner County, OK",7,4,8,1,2,4,19
"Grant County, OR",6,1,4,1,9,4,19
"Umatilla County, OR",6,1,5,1,7,5,19
"Bamberg County, SC",7,2,8,1,1,6,19
"Orangeburg County, SC",6,2,8,1,3,5,19
"Richland County, SC",9,2,8,1,1,5,19
"Carroll County, TN",6,6,8,1,1,5,19
"Hardeman County, TN",6,5,8,1,1,5,19
"Hardin County, TN",6,6,8,1,1,5,19
"Stewart County, TN",6,7,7,1,1,5,19
"Armstrong County, TX",7,2,8,1,3,4,19
"Crosby County, TX",7,2,8,1,2,5,19
"Delta County, TX",7,2,9,1,1,5,19
"Ellis County, TX",7,4,8,1,1,5,19
"Floyd County, TX",7,2,8,1,3,4,19
"Gray County, TX",7,2,8,1,3,4,19
"Hill County, TX",9,4,8,1,1,5,19
"Hudspeth County, TX",9,2,3,1,6,5,19
"Hutchinson County, TX",9,2,8,1,2,4,19
"Red River County, TX",7,2,9,1,1,5,19
"Davis County, UT",7,2,4,1,7,4,19
"Isle of Wight County, VA",6,4,7,4,2,5,19
"Chesapeake city, VA",4,5,7,4,2,5,19
"Virginia Beach city, VA",4,5,7,4,2,5,19
"Benton County, WA",4,1,5,1,8,5,19
"Yakima County, WA",4,1,4,1,9,5,19
"Bibb County, AL",6,4,8,1,1,5,18
"Bullock County, AL",6,2,8,1,1,6,18
"Chilton County, AL",6,4,8,1,1,6,18
"Coosa County, AL",6,1,8,1,1,6,18
"Fayette County, AL",7,2,8,1,1,5,18
"Morgan County, AL",7,5,7,1,1,5,18
"Pike County, AL",6,4,8,1,1,5,18
"St. Clair County, AL",6,2,8,1,2,6,18
"Walker County, AL",6,2,8,1,2,5,18
"La Paz County, AZ",10,7,1,1,1,7,18
"Navajo County, AZ",7,1,4,1,6,5,18
"Chicot County, AR",9,4,7,1,1,5,18
"Cleburne County, AR",6,2,8,1,3,4,18
"Cross County, AR",6,6,8,1,1,4,18
"Desha County, AR",7,5,7,1,1,5,18
"Drew County, AR",7,2,8,1,1,5,18
"Fulton County, AR",6,4,8,1,2,4,18
"Johnson County, AR",7,2,8,1,2,4,18
"Lafayette County, AR",7,2,8,1,1,5,18
"Nevada County, AR",6,2,10,1,1,4,18
"Pope County, AR",7,2,8,1,2,4,18
"Yell County, AR",7,2,8,1,2,4,18
"Glenn County, CA",7,2,8,1,1,5,18
"Kings County, CA",9,2,8,1,1,5,18
"Los Angeles County, CA",4,2,4,3,6,5,18
"Mendocino County, CA",4,1,3,3,8,5,18
"Modoc County, CA",4,1,4,1,9,4,18
"Santa Barbara County, CA",7,2,3,3,6,4,18
"Trinity County, CA",7,4,1,1,9,4,18
"Tuolumne County, CA",4,1,5,1,7,5,18
"Yolo County, CA",9,2,4,4,3,5,18
"Citrus County, FL",9,4,1,4,1,9,18
"Hernando County, FL",9,5,1,4,1,8,18
"Martin County, FL",4,6,1,4,3,8,18
"Ben Hill County, GA",6,2,9,1,1,5,18
"Bibb County, GA",7,2,8,1,1,5,18
"Brooks County, GA",7,4,5,1,1,7,18
"Burke County, GA",7,2,8,1,1,5,18
"Catoosa County, GA",6,2,8,1,2,5,18
"Clay County, GA",6,2,8,1,1,6,18
"Crawford County, GA",7,2,8,1,1,5,18
"Dougherty County, GA",7,2,8,1,1,5,18
"Houston County, GA",7,2,8,1,1,5,18
"Laurens County, GA",7,2,8,1,1,5,18
"Lee County, GA",7,2,8,1,1,5,18
"Mitchell County, GA",7,2,8,1,1,5,18
"Peach County, GA",7,2,8,1,1,5,18
"Richmond County, GA",7,2,8,1,1,5,18
"Telfair County, GA",6,2,9,1,1,5,18
"Toombs County, GA",7,2,8,1,1,5,18
"Twiggs County, GA",7,2,8,1,1,5,18
"Wilkinson County, GA",7,2,8,1,1,5,18
"Gooding County, ID",4,1,6,1,6,5,18
"Madison County, IL",7,6,6,1,1,5,18
"Randolph County, IL",6,6,7,1,1,5,18
"Williamson County, IL",6,6,7,1,1,5,18
"Harrison County, IN",6,9,5,1,1,5,18
"Perry County, IN",6,9,5,1,1,5,18
"Posey County, IN",6,7,6,1,1,5,18
"Spencer County, IN",6,7,6,1,1,5,18
"Vanderburgh County, IN",6,7,6,1,1,5,18
"Warrick County, IN",6,7,6,1,1,5,18
"Anderson County, KS",6,4,8,1,1,5,18
"Chase County, KS",6,2,8,1,2,5,18
"Coffey County, KS",6,2,8,1,2,5,18
"Crawford County, KS",6,4,8,1,1,5,18
"Elk County, KS",6,2,8,1,2,5,18
"Ford County, KS",7,2,8,1,2,5,18
"Geary County, KS",6,2,8,1,2,5,18
"Kingman County, KS",7,2,8,1,1,5,18
"Lincoln County, KS",7,2,8,1,1,5,18
"Linn County, KS",6,2,8,1,2,5,18
"Miami County, KS",6,2,8,1,2,5,18
"Mitchell County, KS",7,2,8,1,1,5,18
"Montgomery County, KS",6,2,8,1,2,5,18
"Morris County, KS",6,2,8,1,2,5,18
"Norton County, KS",7,2,8,1,2,5,18
"Osage County, KS",6,2,8,1,2,6,18
"Pottawatomie County, KS",6,2,8,1,2,5,18
"Pratt County, KS",7,4,8,1,1,5,18
"Reno County, KS",7,2,8,1,1,5,18
"Rice County, KS",7,2,8,1,1,5,18
"Russell County, KS",7,2,8,1,1,5,18
"Smith County, KS",7,2,8,1,1,5,18
"Sumner County, KS",7,2,8,1,1,5,18
"Wabaunsee County, KS",6,2,8,1,2,5,18
"Wilson County, KS",6,2,8,1,2,5,18
"Woodson County, KS",6,2,8,1,2,5,18
"Butler County, KY",6,7,6,1,1,5,18
"Caldwell County, KY",6,7,6,1,1,5,18
"Calloway County, KY",6,6,7,1,1,5,18
"Daviess County, KY",6,7,6,1,1,5,18
"Hancock County, KY",6,9,5,1,1,5,18
"Henderson County, KY",6,7,6,1,1,5,18
"Ohio County, KY",6,6,7,1,1,5,18
"Union County, KY",6,7,6,1,1,5,18
"Warren County, KY",6,7,6,1,1,5,18
"Franklin Parish, LA",9,2,8,1,1,5,18
"Jefferson Parish, LA",6,7,1,4,2,7,18
"LaSalle Parish, LA",7,2,8,1,1,5,18
"Red River Parish, LA",7,2,8,1,1,5,18
"Tensas Parish, LA",9,2,7,1,1,6,18
"Somerset County, MD",4,5,4,7,1,6,18
"Alcorn County, MS",6,5,8,1,1,5,18
"Bolivar County, MS",7,5,7,1,1,5,18
"Choctaw County, MS",6,4,8,1,1,5,18
"Coahoma County, MS",7,4,8,1,1,5,18
"Montgomery County, MS",6,4,8,1,1,5,18
"Quitman County, MS",7,4,8,1,1,5,18
"Tunica County, MS",7,4,8,1,1,5,18
"Washington County, MS",7,6,6,1,1,5,18
"Barton County, MO",6,4,8,1,2,5,18
"Benton County, MO",4,2,8,1,2,6,18
"Carroll County, MO",6,6,7,1,1,5,18
"Chariton County, MO",6,6,6,1,2,5,18
"Clay County, MO",6,4,8,1,2,5,18
"Crawford County, MO",6,7,5,1,2,5,18
"Dade County, MO",6,2,8,1,2,5,18
"Dent County, MO",6,5,7,1,2,5,18
"Henry County, MO",6,4,8,1,2,5,18
"Jasper County, MO",6,2,8,1,2,5,18
"Jefferson County, MO",6,5,6,1,2,6,18
"Johnson County, MO",6,4,8,1,2,5,18
"Lafayette County, MO",6,5,7,1,1,6,18
"Lawrence County, MO",6,2,8,1,2,5,18
"Platte County, MO",6,4,8,1,2,5,18
"Polk County, MO",6,2,8,1,2,5,18
"Pulaski County, MO",4,5,8,1,2,5,18
"Ray County, MO",6,4,7,1,2,6,18
"Reynolds County, MO",6,7,5,1,2,5,18
"St. Francois County, MO",6,5,7,1,2,5,18
"Saline County, MO",6,5,7,1,2,5,18
"Stoddard County, MO",6,5,8,1,1,5,18
"Taney County, MO",6,2,8,1,2,5,18
"Texas County, MO",4,5,8,1,2,5,18
"Warren County, MO",6,6,7,1,1,5,18
"Washington County, MO",6,7,5,1,2,5,18
"Pershing County, NV",7,1,1,1,10,5,18
"Grant County, NM",6,1,4,1,7,5,18
"Socorro County, NM",7,1,4,1,6,5,18
"Duplin County, NC",4,6,8,1,1,5,18
"Martin County, NC",4,4,8,4,1,5,18
"Blaine County, OK",7,2,9,1,1,4,18
"Caddo County, OK",7,2,9,1,1,4,18
"Carter County, OK",7,2,9,1,1,4,18
"Craig County, OK",6,4,8,1,2,4,18
"Creek County, OK",6,2,9,1,2,4,18
"Custer County, OK",7,2,9,1,1,4,18
"Grant County, OK",7,2,9,1,1,4,18
"Lincoln County, OK",7,2,9,1,1,4,18
"McCurtain County, OK",7,2,9,1,1,4,18
"Mayes County, OK",6,4,8,1,2,4,18
"Nowata County, OK",7,2,8,1,2,4,18
"Ottawa County, OK",6,4,8,1,2,4,18
"Payne County, OK",7,2,9,1,1,4,18
"Texas County, OK",7,2,8,1,3,4,18
"Washington County, OK",7,2,8,1,2,4,18
"Baker County, OR",4,1,4,1,9,4,18
"Jackson County, OR",4,1,4,1,8,5,18
"Josephine County, OR",7,1,3,1,7,5,18
"Barnwell County, SC",7,2,8,1,1,5,18
"Darlington County, SC",6,4,8,1,1,5,18
"Edgefield County, SC",7,2,8,1,1,5,18
"Lexington County, SC",7,2,8,1,1,5,18
"McCormick County, SC",7,2,8,1,1,5,18
"Saluda County, SC",7,2,8,1,1,5,18
"Sumter County, SC",6,1,8,1,3,5,18
"Benton County, TN",6,6,7,1,1,5,18
"Henry County, TN",6,6,7,1,1,5,18
"Perry County, TN",6,4,8,1,1,5,18
"Briscoe County, TX",7,2,8,1,2,4,18
"Hale County, TX",7,2,8,1,3,4,18
"Hockley County, TX",7,2,8,1,3,4,18
"Lipscomb County, TX",7,2,8,1,2,4,18
"Potter County, TX",7,2,8,1,2,5,18
"Roberts County, TX",7,2,8,1,2,4,18
"Terrell County, TX",10,5,1,1,6,5,18
"Box Elder County, UT",4,1,4,1,9,4,18
"Utah County, UT",6,1,4,1,8,4,18
"Henrico County, VA",6,5,8,3,1,4,18
"Northampton County, VA",4,7,3,4,1,6,18
"Southampton County, VA",4,4,8,4,1,5,18
"Douglas County, WA",6,1,4,1,8,4,18
"Barbour County, AL",6,2,8,1,1,5,17
"Blount County, AL",6,2,7,1,2,6,17
"Cullman County, AL",6,4,7,1,2,5,17
"Dale County, AL",6,2,8,1,1,5,17
"Lauderdale County, AL",6,4,8,1,1,5,17
"Lawrence County, AL",6,4,8,1,1,5,17
"Madison County, AL",7,4,6,1,2,5,17
"Marion County, AL",7,2,8,1,1,5,17
"Tallapoosa County, AL",6,2,8,1,1,5,17
"Ashley County, AR",7,2,8,1,1,5,17
"Baxter County, AR",6,2,8,1,2,4,17
"Benton County, AR",6,2,8,1,2,4,17
"Clay County, AR",6,5,8,1,1,4,17
"Greene County, AR",6,4,8,1,1,4,17
"Independence County, AR",6,2,8,1,2,4,17
"Lee County, AR",7,4,8,1,1,4,17
"Perry County, AR",6,2,8,1,2,4,17
"St. Francis County, AR",6,4,8,1,1,4,17
"Washington County, AR",6,2,8,1,3,4,17
"Woodruff County, AR",7,4,8,1,1,4,17
"Colusa County, CA",7,2,8,1,1,5,17
"San Diego County, CA",3,1,4,4,6,5,17
"Solano County, CA",9,2,3,4,3,5,17
"Sonoma County, CA",6,5,3,4,3,5,17
"Baca County, CO",7,2,6,1,3,5,17
"Prowers County, CO",7,2,7,1,2,5,17
"Calhoun County, FL",4,2,5,1,1,9,17
"Jackson County, FL",4,2,8,1,1,6,17
"Okaloosa County, FL",6,5,3,3,2,7,17
"Bleckley County, GA",6,2,8,1,1,5,17
"Colquitt County, GA",7,1,8,1,1,5,17
"Dodge County, GA",6,2,8,1,1,5,17
"Early County, GA",6,2,8,1,1,5,17
"Emanuel County, GA",6,2,8,1,1,5,17
"Glascock County, GA",6,2,8,1,1,5,17
"Greene County, GA",6,2,8,1,1,5,17
"Irwin County, GA",6,2,8,1,1,5,17
"Jefferson County, GA",6,2,8,1,1,5,17
"Marion County, GA",6,1,8,1,1,6,17
"Miller County, GA",6,2,8,1,1,6,17
"Pulaski County, GA",6,2,8,1,1,5,17
"Tift County, GA",6,1,9,1,1,5,17
"Warren County, GA",6,2,8,1,1,5,17
"Washington County, GA",6,2,8,1,1,5,17
"Webster County, GA",6,2,8,1,1,5,17
"Whitfield County, GA",6,2,8,1,2,5,17
"Wilcox County, GA",6,2,8,1,1,5,17
"Twin Falls County, ID",4,1,5,1,7,4,17
"Crawford County, IL",6,7,5,1,1,5,17
"Edwards County, IL",6,6,6,1,1,5,17
"Franklin County, IL",6,6,6,1,1,5,17
"Hamilton County, IL",6,6,6,1,1,5,17
"Lawrence County, IL",6,7,5,1,1,5,17
"Macon County, IL",6,7,5,1,1,5,17
"Monroe County, IL",6,5,7,1,1,5,17
"Montgomery County, IL",6,7,5,1,1,5,17
"Perry County, IL",6,6,6,1,1,5,17
"Floyd County, IN",6,9,4,1,1,5,17
"Gibson County, IN",6,7,5,1,1,5,17
"Knox County, IN",6,7,5,1,1,5,17
"Pike County, IN",6,7,5,1,1,5,17
"Allen County, KS",6,2,8,1,1,5,17
"Butler County, KS",6,2,8,1,1,5,17
"Cherokee County, KS",6,2,8,1,1,5,17
"Clay County, KS",6,2,8,1,1,5,17
"Cloud County, KS",6,2,8,1,1,5,17
"Cowley County, KS",6,2,8,1,1,5,17
"Douglas County, KS",6,2,8,1,1,5,17
"Edwards County, KS",7,4,7,1,1,5,17
"Ellsworth County, KS",6,2,8,1,1,5,17
"Grant County, KS",7,2,8,1,1,5,17
"Hamilton County, KS",7,2,7,1,2,5,17
"Labette County, KS",6,2,8,1,1,5,17
"McPherson County, KS",6,2,8,1,1,5,17
"Marion County, KS",6,2,8,1,1,5,17
"Meade County, KS",7,2,7,1,2,5,17
"Morton County, KS",7,2,8,1,1,5,17
"Neosho County, KS",6,2,8,1,1,5,17
"Riley County, KS",6,2,8,1,1,5,17
"Scott County, KS",7,2,8,1,1,5,17
"Seward County, KS",7,2,8,1,1,5,17
"Stanton County, KS",7,2,8,1,1,5,17
"Barren County, KY",7,7,4,1,1,5,17
"Bullitt County, KY",6,9,4,1,1,5,17
"Edmonson County, KY",7,7,4,1,1,5,17
"Elliott County, KY",6,6,5,1,2,5,17
"Hopkins County, KY",6,5,7,1,1,5,17
"Jefferson County, KY",6,9,4,1,1,5,17
"Logan County, KY",6,6,6,1,1,5,17
"East Carroll Parish, LA",7,5,6,1,1,5,17
"Madison Parish, LA",7,4,7,1,1,5,17
"Orleans Parish, LA",6,7,1,4,2,6,17
"West Carroll Parish, LA",7,4,7,1,1,5,17
"Dorchester County, MD",4,5,4,7,1,5,17
"Tallahatchie County, MS",6,4,8,1,1,5,17
"Tishomingo County, MS",6,4,8,1,1,5,17
"Barry County, MO",4,2,8,1,2,5,17
"Boone County, MO",6,4,7,1,2,5,17
"Cass County, MO",4,2,8,1,2,6,17
"Cooper County, MO",4,5,7,1,2,5,17
"Greene County, MO",6,2,8,1,2,5,17
"Howard County, MO",4,5,7,1,2,5,17
"Howell County, MO",6,1,8,1,2,5,17
"Jackson County, MO",4,4,8,1,2,5,17
"McDonald County, MO",4,2,8,1,2,5,17
"Madison County, MO",6,6,5,1,2,5,17
"Moniteau County, MO",4,6,7,1,1,5,17
"Newton County, MO",4,2,8,1,2,5,17
"Pettis County, MO",4,5,7,1,2,5,17
"St. Louis County, MO",6,5,7,1,1,5,17
"Webster County, MO",4,2,8,1,2,5,17
"Wright County, MO",4,4,8,1,2,5,17
"Big Horn County, MT",6,1,4,1,7,4,17
"Rosebud County, MT",6,1,4,1,7,4,17
"Cherry County, NE",6,2,4,1,6,5,17
"Lincoln County, NV",7,1,1,1,9,5,17
"Cape May County, NJ",3,5,3,4,2,7,17
"Quay County, NM",9,2,5,1,3,5,17
"Roosevelt County, NM",7,1,7,1,3,5,17
"Hoke County, NC",6,2,8,1,1,5,17
"Robeson County, NC",6,2,8,1,1,5,17
"Sampson County, NC",6,2,8,1,1,5,17
"Scotland County, NC",6,2,8,1,1,5,17
"Delaware County, OK",6,2,8,1,2,4,17
"Kay County, OK",7,2,8,1,1,4,17
"Sequoyah County, OK",6,2,8,1,2,4,17
"Gilliam County, OR",4,1,4,1,8,4,17
"Wallowa County, OR",4,1,3,1,9,4,17
"Aiken County, SC",6,2,8,1,1,5,17
"Dillon County, SC",6,2,8,1,1,5,17
"Fairfield County, SC",6,2,8,1,1,5,17
"Kershaw County, SC",6,2,8,1,1,5,17
"Lee County, SC",6,1,8,1,2,6,17
"Marlboro County, SC",6,2,8,1,1,5,17
"Meade County, SD",6,2,4,1,6,5,17
"Pennington County, SD",6,1,4,1,6,5,17
"Cheatham County, TN",6,5,7,1,1,5,17
"Cochran County, TX",7,2,8,1,2,4,17
"Duval County, TX",10,5,1,1,1,8,17
"Hansford County, TX",7,2,8,1,2,4,17
"Lamb County, TX",7,2,8,1,2,4,17
"Ochiltree County, TX",7,2,8,1,2,4,17
"Oldham County, TX",7,2,7,1,3,4,17
"Presidio County, TX",10,6,1,1,4,5,17
"Val Verde County, TX",10,5,1,1,5,5,17
"San Juan County, UT",4,1,4,1,8,4,17
"King and Queen County, VA",6,5,5,4,1,5,17
"King William County, VA",6,4,6,4,1,5,17
"New Kent County, VA",6,5,6,4,1,4,17
"Prince George County, VA",6,5,7,3,1,4,17
"Poquoson city, VA",4,5,1,6,1,9,17
"Lincoln County, WA",4,1,4,1,8,4,17
"Okanogan County, WA",4,1,4,1,8,4,17
"Clay County, AL",6,2,8,1,1,5,16
"Colbert County, AL",6,2,8,1,1,5,16
"Franklin County, AL",6,4,7,1,1,5,16
"Jefferson County, AL",6,2,7,1,2,5,16
"Talladega County, AL",6,2,8,1,1,5,16
"Arkansas County, AR",7,2,7,1,1,5,16
"Cleveland County, AR",6,2,8,1,1,4,16
"Izard County, AR",6,1,8,1,2,4,16
"Lincoln County, AR",7,2,7,1,1,5,16
"Prairie County, AR",7,2,8,1,1,4,16
"Santa Clara County, CA",3,2,3,4,6,5,16
"Siskiyou County, CA",6,1,1,1,10,4,16
"Bent County, CO",7,2,6,1,2,5,16
"Kent County, DE",4,4,5,4,3,4,16
"Sussex County, DE",4,4,5,6,1,5,16
"Hendry County, FL",6,4,1,1,3,9,16
"Okeechobee County, FL",9,2,1,1,3,8,16
"Pinellas County, FL",6,7,1,4,1,6,16
"St. Lucie County, FL",4,5,1,4,2,8,16
"Sumter County, FL",9,4,1,1,2,8,16
"Calhoun County, GA",6,1,8,1,1,5,16
"Chatham County, GA",6,2,1,6,3,7,16
"Columbia County, GA",6,2,8,1,1,5,16
"Crisp County, GA",6,1,8,1,1,5,16
"Dooly County, GA",6,1,8,1,1,5,16
"Fayette County, GA",6,1,8,1,1,5,16
"Harris County, GA",7,2,7,1,1,5,16
"Jasper County, GA",6,1,8,1,1,5,16
"Macon County, GA",6,1,8,1,1,5,16
"Rockdale County, GA",6,1,8,1,1,5,16
"Schley County, GA",6,1,8,1,1,5,16
"Stewart County, GA",6,1,8,1,1,5,16
"Sumter County, GA",6,1,8,1,1,5,16
"Talbot County, GA",6,1,8,1,1,5,16
"Taylor County, GA",6,2,8,1,1,5,16
"Terrell County, GA",6,1,8,1,1,5,16
"Turner County, GA",6,1,8,1,1,5,16
"Walton County, GA",6,1,8,1,1,5,16
"Wilkes County, GA",6,1,8,1,1,5,16
"Cassia County, ID",4,1,4,1,7,4,16
"Lincoln County, ID",4,1,4,1,6,5,16
"Bond County, IL",6,6,5,1,1,5,16
"Calhoun County, IL",6,4,7,1,1,5,16
"Clinton County, IL",4,6,6,1,1,5,16
"De Witt County, IL",6,7,4,1,1,5,16
"Pike County, IL",6,5,6,1,1,5,16
"Wabash County, IL",4,7,5,1,1,5,16
"Wayne County, IL",6,6,5,1,1,5,16
"Clark County, IN",6,7,4,1,1,5,16
"Ohio County, IN",4,6,4,1,1,6,16
"Van Buren County, IA",6,5,5,1,2,5,16
"Finney County, KS",7,2,7,1,1,5,16
"Franklin County, KS",6,2,8,1,1,5,16
"Gove County, KS",6,2,7,1,2,5,16
"Gray County, KS",7,2,7,1,1,5,16
"Greeley County, KS",7,2,6,1,2,5,16
"Harvey County, KS",6,2,8,1,1,5,16
"Haskell County, KS",7,2,7,1,1,5,16
"Jackson County, KS",6,2,8,1,1,5,16
"Jefferson County, KS",4,2,8,1,1,6,16
"Jewell County, KS",6,2,8,1,1,5,16
"Johnson County, KS",4,2,8,1,2,5,16
"Kearny County, KS",7,2,7,1,1,5,16
"Lane County, KS",7,2,7,1,1,5,16
"Leavenworth County, KS",4,2,8,1,1,5,16
"Logan County, KS",6,2,7,1,2,5,16
"Marshall County, KS",6,2,8,1,1,5,16
"Republic County, KS",6,2,8,1,1,5,16
"Shawnee County, KS",6,2,8,1,1,5,16
"Stevens County, KS",7,2,7,1,1,5,16
"Washington County, KS",6,2,8,1,1,5,16
"Wichita County, KS",7,2,7,1,1,5,16
"Simpson County, KY",6,6,5,1,1,5,16
"Spencer County, KY",6,9,3,1,1,5,16
"Concordia Parish, LA",7,2,7,1,1,5,16
"Morehouse Parish, LA",7,2,7,1,1,5,16
"St. Helena Parish, LA",7,6,1,1,1,8,16
"St. Tammany Parish, LA",6,5,1,4,2,7,16
"Atchison County, MO",6,5,6,1,1,5,16
"Douglas County, MO",4,2,8,1,2,5,16
"Lincoln County, MO",6,4,6,1,1,6,16
"Livingston County, MO",6,4,6,1,2,5,16
"Marion County, MO",4,5,6,1,2,5,16
"Monroe County, MO",4,5,6,1,2,5,16
"Ozark County, MO",4,2,7,1,2,6,16
"Ralls County, MO",4,5,6,1,2,5,16
"Randolph County, MO",4,5,6,1,2,5,16
"Carter County, MT",4,2,4,1,6,4,16
"Custer County, MT",6,1,4,1,6,4,16
"Dawson County, MT",6,2,4,1,6,4,16
"Garfield County, MT",4,1,4,1,7,4,16
"Sanders County, MT",6,1,3,1,7,4,16
"Furnas County, NE",7,2,6,1,2,5,16
"Elko County, NV",6,1,1,1,10,4,16
"Humboldt County, NV",6,1,1,1,10,4,16
"Lander County, NV",4,1,1,1,10,5,16
"Nye County, NV",6,1,1,1,9,5,16
"Curry County, NM",7,1,6,1,3,5,16
"Sandoval County, NM",4,1,3,1,7,5,16
"Harnett County, NC",6,2,8,1,1,5,16
"Northampton County, NC",4,4,7,1,2,5,16
"Gallia County, OH",6,7,3,1,2,5,16
"Meigs County, OH",6,7,3,1,2,5,16
"Union County, OR",4,1,4,1,7,4,16
"Calhoun County, SC",6,1,8,1,1,5,16
"Greenwood County, SC",6,1,8,1,1,5,16
"Union County, SC",6,1,8,1,1,5,16
"Haakon County, SD",6,2,5,1,4,5,16
"Decatur County, TN",6,4,7,1,1,5,16
"Houston County, TN",6,5,6,1,1,5,16
"Humphreys County, TN",4,5,7,1,1,5,16
"Macon County, TN",6,7,4,1,1,5,16
"Maury County, TN",6,4,7,1,1,5,16
"Trousdale County, TN",6,7,4,1,1,5,16
"Brooks County, TX",10,5,1,1,1,7,16
"Carson County, TX",7,1,8,1,2,4,16
"Culberson County, TX",7,2,1,1,7,5,16
"Deaf Smith County, TX",7,2,6,1,3,4,16
"Moore County, TX",7,2,7,1,2,4,16
"Randall County, TX",7,2,7,1,2,4,16
"Swisher County, TX",7,1,8,1,2,4,16
"Beaver County, UT",7,1,3,1,6,4,16
"Emery County, UT",6,1,4,1,6,4,16
"Uintah County, UT",7,1,4,1,6,4,16
"Lancaster County, VA",6,6,3,4,1,5,16
"Middlesex County, VA",6,6,3,4,1,5,16
"Chelan County, WA",4,1,4,1,7,4,16
"Ferry County, WA",4,1,4,1,7,4,16
"Calhoun County, AL",6,2,6,1,2,5,15
"Cleburne County, AL",6,2,6,1,2,5,15
"Etowah County, AL",6,2,6,1,2,5,15
"Limestone County, AL",6,4,6,1,1,5,15
"Jackson County, AR",6,2,8,1,1,4,15
"Monroe County, AR",7,2,7,1,1,4,15
"Phillips County, AR",7,2,7,1,1,4,15
"Lassen County, CA",4,1,1,1,10,4,15
"Sacramento County, CA",7,2,4,4,1,5,15
"San Benito County, CA",4,2,3,1,6,5,15
"San Joaquin County, CA",7,2,4,4,1,5,15
"San Luis Obispo County, CA",3,1,3,3,6,5,15
"Sutter County, CA",7,2,6,1,1,5,15
